Cohort,Row,PuzzleIdx,Move,Games,White %,Draw %,Black %,Freq,FEN,Rating,Ply,CohortPair
base,1,129,e1h1,1013545,48.95678040935528,3.9673620806180288,47.07585751002669,0.2058091860938054,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,1000,6,1000-1400
base,11,123,g2g3,3,33.33333333333333,0.0,66.66666666666666,0.0220588235294117,rnb1k1nr/pppp1ppp/5q2/2b5/3Np3/2P1P3/PP1P1PPP/RNBQKB1R w KQkq - 1 5,1000,8,1000-1400
base,9,122,d4b5,32,37.5,12.5,50.0,0.0377358490566037,rnb1kbnr/pppp1ppp/5q2/8/3Np3/4P3/PPPP1PPP/RNBQKB1R w KQkq - 2 4,1000,6,1000-1400
target,1,123,b2b4,16,56.25,0.0,43.75,0.1616161616161616,rnb1k1nr/pppp1ppp/5q2/2b5/3Np3/2P1P3/PP1P1PPP/RNBQKB1R w KQkq - 1 5,1400,8,1000-1400
target,5,128,f8e7,1215940,48.90989686991134,3.894846785203218,47.19525634488544,0.0252287966398896,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,1400,5,1000-1400
base,10,125,a8b8,2,0.0,0.0,100.0,0.008,r2qkb1r/pp2pppp/2n2n2/1N1p4/3P1B2/5N2/PPP2PPP/R2QK2R b KQkq - 2 8,1000,15,1000-1400
base,9,125,e8d7,2,50.0,0.0,50.0,0.008,r2qkb1r/pp2pppp/2n2n2/1N1p4/3P1B2/5N2/PPP2PPP/R2QK2R b KQkq - 2 8,1000,15,1000-1400
base,8,125,h7h6,3,33.33333333333333,0.0,66.66666666666666,0.012,r2qkb1r/pp2pppp/2n2n2/1N1p4/3P1B2/5N2/PPP2PPP/R2QK2R b KQkq - 2 8,1000,15,1000-1400
base,7,125,d8d7,4,25.0,0.0,75.0,0.016,r2qkb1r/pp2pppp/2n2n2/1N1p4/3P1B2/5N2/PPP2PPP/R2QK2R b KQkq - 2 8,1000,15,1000-1400
base,6,125,g7g6,8,12.5,0.0,87.5,0.032,r2qkb1r/pp2pppp/2n2n2/1N1p4/3P1B2/5N2/PPP2PPP/R2QK2R b KQkq - 2 8,1000,15,1000-1400
target,2,125,e7e6,77,23.37662337662337,5.194805194805195,71.42857142857143,0.2037037037037037,r2qkb1r/pp2pppp/2n2n2/1N1p4/3P1B2/5N2/PPP2PPP/R2QK2R b KQkq - 2 8,1400,15,1000-1400
base,0,126,f1e2,1496,44.45187165775401,3.2085561497326207,52.33957219251337,0.3202740312566902,rnb1kb1r/ppp1pppp/8/8/3Pq3/8/PPP2PPP/R1BQKBNR w KQkq - 1 6,1000,10,1000-1400
target,5,123,d4b3,8,25.0,12.5,62.5,0.0808080808080808,rnb1k1nr/pppp1ppp/5q2/2b5/3Np3/2P1P3/PP1P1PPP/RNBQKB1R w KQkq - 1 5,1400,8,1000-1400
target,3,123,d1b3,8,62.5,12.5,25.0,0.0808080808080808,rnb1k1nr/pppp1ppp/5q2/2b5/3Np3/2P1P3/PP1P1PPP/RNBQKB1R w KQkq - 1 5,1400,8,1000-1400
target,4,122,f2f3,34,29.411764705882355,8.823529411764707,61.76470588235294,0.0779816513761468,rnb1kbnr/pppp1ppp/5q2/8/3Np3/4P3/PPPP1PPP/RNBQKB1R w KQkq - 2 4,1400,6,1000-1400
target,3,122,b2b3,36,30.55555555555556,2.7777777777777777,66.66666666666666,0.0825688073394495,rnb1kbnr/pppp1ppp/5q2/8/3Np3/4P3/PPPP1PPP/RNBQKB1R w KQkq - 2 4,1400,6,1000-1400
target,2,122,d2d3,77,58.44155844155844,2.5974025974025974,38.961038961038966,0.1766055045871559,rnb1kbnr/pppp1ppp/5q2/8/3Np3/4P3/PPPP1PPP/RNBQKB1R w KQkq - 2 4,1400,6,1000-1400
target,1,122,c2c3,80,40.0,2.5,57.49999999999999,0.1834862385321101,rnb1kbnr/pppp1ppp/5q2/8/3Np3/4P3/PPPP1PPP/RNBQKB1R w KQkq - 2 4,1400,6,1000-1400
target,0,122,b1c3,94,63.82978723404256,6.382978723404255,29.78723404255319,0.2155963302752293,rnb1kbnr/pppp1ppp/5q2/8/3Np3/4P3/PPPP1PPP/RNBQKB1R w KQkq - 2 4,1400,6,1000-1400
base,11,122,d4b3,17,23.52941176470588,17.647058823529413,58.82352941176471,0.0200471698113207,rnb1kbnr/pppp1ppp/5q2/8/3Np3/4P3/PPPP1PPP/RNBQKB1R w KQkq - 2 4,1000,6,1000-1400
base,10,122,f2f4,22,63.63636363636363,0.0,36.36363636363637,0.025943396226415,rnb1kbnr/pppp1ppp/5q2/8/3Np3/4P3/PPPP1PPP/RNBQKB1R w KQkq - 2 4,1000,6,1000-1400
target,2,123,f1e2,13,30.76923076923077,0.0,69.23076923076923,0.1313131313131313,rnb1k1nr/pppp1ppp/5q2/2b5/3Np3/2P1P3/PP1P1PPP/RNBQKB1R w KQkq - 1 5,1400,8,1000-1400
